X,Y,Shift,Age,Primary_fur_color,Location,Ground_Sighting_Measure,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from,Day,Plot_number,Section
-73.9649632550828,40.7809187761995,PM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,False,True,False,True,False,7,20,F
-73.957219204335,40.7931529059779,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,True,False,False,6,35,E
-73.9712308864394,40.7714534847379,AM,Adult,Gray,Above Ground,15,False,False,False,False,False,False,False,False,False,False,False,True,False,7,9,G
-73.9758676144255,40.7701671581939,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,18,5,D
-73.969058856545,40.7766356226979,PM,Adult,Cinnamon,Ground Plane,0,False,False,False,True,True,False,False,False,False,True,False,True,False,12,14,F
-73.963846339804,40.7834051716226,AM,Adult,Cinnamon,Above Ground,30,False,False,True,False,False,False,False,False,False,False,False,True,False,18,23,F
-73.9597642778427,40.7976368003915,PM,Adult,Gray,Ground Plane,0,False,True,False,False,False,False,False,False,False,False,False,False,False,14,39,A
-73.9745691353018,40.7771035589298,PM,Adult,Gray,Above Ground,6,False,False,True,False,False,False,False,False,False,False,False,False,True,14,13,A
-73.9748706415584,40.7744174965072,AM,Juvenile,Gray,Above Ground,10,False,False,True,False,False,False,False,False,False,False,False,True,False,6,10,B
-73.9597205966324,40.7969409510133,AM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,False,True,19,38,B
-73.971086588091,40.7719703235178,PM,Adult,Gray,Ground Plane,0,False,False,False,True,False,False,False,False,False,False,False,False,False,7,9,G
-73.958535640774,40.7982737896998,AM,Juvenile,Gray,Ground Plane,0,True,True,False,False,False,False,False,False,False,True,False,False,False,19,40,B
-73.958770180151,40.7934123941528,PM,Juvenile,Gray,Ground Plane,0,False,False,False,False,False,False,False,False,False,False,False,False,False,13,35,D
-73.9707274055755,40.7723889080377,PM,Adult,Gray,Ground Plane,0,False,True,False,False,False,False,False,False,False,False,False,True,False,17,10,G
-73.9720065066618,40.7764043782924,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,True,False,10,13,C
